Energy_eV,AttenLength_um
400,0.488436
400.325,0.489396
400.651,0.490359
400.976,0.491323
401.302,0.492289
401.628,0.493257
401.955,0.494227
402.282,0.495198
402.609,0.496172
402.936,0.497148
403.263,0.498125
403.591,0.499105
403.919,0.500086
404.248,0.50107
404.576,0.502055
404.905,0.503042
405.234,0.504031
405.564,0.505022
405.893,0.506015
406.223,0.50701
406.554,0.508007
406.884,0.509006
407.215,0.510007
407.546,0.51101
407.877,0.512015
408.209,0.513022
408.54,0.514031
408.873,0.515041
409.205,0.516054
409.538,0.517069
409.87,0.518086
410.204,0.519105
410.537,0.520126
410.871,0.521149
411.205,0.522174
411.539,0.5232
411.874,0.524229
412.208,0.52526
412.543,0.526293
412.879,0.527328
413.214,0.528365
413.55,0.529404
413.887,0.530445
414.223,0.531488
414.56,0.532533
414.897,0.53358
415.234,0.534629
415.571,0.53568
415.909,0.536734
416.247,0.537789
416.586,0.538847
416.924,0.539906
417.263,0.540968
417.602,0.542032
417.942,0.543097
418.282,0.544165
418.622,0.545235
418.962,0.546307
419.303,0.547381
419.643,0.548458
419.985,0.549536
420.326,0.550617
420.668,0.551699
421.01,0.552784
421.352,0.553871
421.694,0.55496
422.037,0.556051
422.38,0.557144
422.724,0.55824
423.067,0.559338
423.411,0.560437
423.755,0.561539
424.1,0.562644
424.444,0.56375
424.789,0.564858
425.135,0.565969
425.48,0.567082
425.826,0.568197
426.172,0.569314
426.519,0.570433
426.866,0.571555
427.212,0.572678
427.56,0.573804
427.907,0.574933
428.255,0.576063
428.603,0.577196
428.952,0.57833
429.3,0.579467
429.649,0.580607
429.999,0.581748
430.348,0.582893
430.698,0.584038
431.048,0.585187
431.398,0.586337
431.749,0.58749
432.1,0.588645
432.451,0.589803
432.803,0.590962
433.155,0.592124
433.507,0.593288
433.859,0.594455
434.212,0.595623
434.565,0.596794
434.918,0.597968
435.272,0.599144
435.625,0.600321
435.98,0.601502
436.334,0.602685
436.689,0.60387
437.044,0.605057
437.399,0.606247
437.754,0.607439
438.11,0.608634
438.466,0.60983
438.823,0.611029
439.18,0.612231
439.537,0.613435
439.894,0.614641
440.251,0.615849
440.609,0.61706
440.967,0.618273
441.326,0.619489
441.685,0.620707
442.044,0.621927
442.403,0.62315
442.763,0.624376
443.123,0.625603
443.483,0.626833
443.843,0.628066
444.204,0.629301
444.565,0.630538
444.927,0.631778
445.288,0.63302
445.65,0.634265
446.012,0.635512
446.375,0.636761
446.738,0.638013
447.101,0.639267
447.464,0.640524
447.828,0.641784
448.192,0.643045
448.557,0.644309
448.921,0.645576
449.286,0.646845
449.651,0.648116
450.017,0.64939
450.383,0.650667
450.749,0.651946
451.115,0.653228
451.482,0.654512
451.849,0.655798
452.216,0.657087
452.584,0.658379
452.952,0.659673
453.32,0.66097
453.688,0.662269
454.057,0.663571
454.426,0.664875
454.796,0.666182
455.165,0.667491
455.535,0.668803
455.906,0.670118
456.276,0.671435
456.647,0.67276
457.018,0.674093
457.39,0.675428
457.762,0.676767
458.134,0.678108
458.506,0.679452
458.879,0.680798
459.252,0.682147
459.625,0.683498
459.999,0.684853
460.373,0.686209
460.747,0.687569
461.122,0.688931
461.496,0.690296
461.872,0.691664
462.247,0.693034
462.623,0.694408
462.999,0.695783
463.375,0.697162
463.752,0.698543
464.129,0.699961
464.506,0.701394
464.884,0.702829
465.262,0.704267
465.64,0.705708
466.018,0.707152
466.397,0.708598
466.776,0.710048
467.156,0.711501
467.535,0.712956
467.915,0.714415
468.296,0.715877
468.677,0.717341
469.058,0.718809
469.439,0.72028
469.82,0.721753
470.202,0.72323
470.585,0.72471
470.967,0.726192
471.35,0.727678
471.733,0.729167
472.117,0.730659
472.5,0.732154
472.884,0.733652
473.269,0.735153
473.654,0.736657
474.039,0.738164
474.424,0.739675
474.81,0.741188
475.195,0.742704
475.582,0.744224
475.968,0.745746
476.355,0.747272
476.742,0.748801
477.13,0.750333
477.518,0.751868
477.906,0.753406
478.295,0.754948
478.683,0.756492
479.072,0.75804
479.462,0.759591
479.852,0.761146
480.242,0.762703
480.632,0.764263
481.023,0.765827
481.414,0.767394
481.805,0.768964
482.197,0.770537
482.589,0.772114
482.981,0.773693
483.374,0.775276
483.767,0.776863
484.16,0.778452
484.553,0.780045
484.947,0.781641
485.341,0.78324
485.736,0.784842
486.131,0.786448
486.526,0.788057
486.922,0.789669
487.317,0.791285
487.713,0.792904
488.11,0.794526
488.507,0.796151
488.904,0.79778
489.301,0.799412
489.699,0.801047
490.097,0.802686
490.495,0.804328
490.894,0.805974
491.293,0.807622
491.693,0.809274
492.092,0.81093
492.492,0.812589
492.893,0.814251
493.293,0.815917
493.694,0.817586
494.096,0.819258
494.497,0.820934
494.899,0.822614
495.301,0.824297
495.704,0.825983
496.107,0.827673
496.51,0.829366
496.914,0.831062
497.318,0.832762
497.722,0.834466
498.127,0.836173
498.532,0.837883
498.937,0.839597
499.342,0.841315
499.748,0.843036
500.155,0.84476
500.561,0.846488
500.968,0.84822
501.375,0.849955
501.783,0.851694
502.191,0.853437
502.599,0.855182
503.008,0.856933
503.416,0.858686
503.826,0.860443
504.235,0.862204
504.645,0.863968
505.055,0.865736
505.466,0.867507
505.877,0.869282
506.288,0.871061
506.7,0.872844
507.111,0.87463
507.524,0.876419
507.936,0.878212
508.349,0.880009
508.762,0.88181
509.176,0.883614
509.59,0.885422
510.004,0.887234
510.419,0.889049
510.833,0.890869
511.249,0.892692
511.664,0.894518
512.08,0.896348
512.497,0.898182
512.913,0.90002
513.33,0.901861
513.747,0.903706
514.165,0.905555
514.583,0.907407
515.001,0.909264
515.42,0.911124
515.839,0.912988
516.258,0.914856
516.678,0.916728
517.098,0.918603
517.518,0.920482
517.939,0.922366
518.36,0.924253
518.781,0.926143
519.203,0.928038
519.625,0.929936
520.047,0.931839
520.47,0.933745
520.893,0.935655
521.317,0.93757
521.74,0.939488
522.164,0.94141
522.589,0.943336
523.014,0.945265
523.439,0.947199
523.864,0.949137
524.29,0.951079
524.716,0.953024
525.143,0.954974
525.57,0.956928
525.997,0.958885
526.425,0.960847
526.853,0.962813
527.281,0.964783
527.709,0.966756
528.138,0.968734
528.568,0.970716
528.997,0.972701
529.427,0.974691
529.858,0.976685
530.289,0.978683
530.72,0.980685
531.151,0.982691
531.583,0.984701
532.015,0.986716
532.447,0.988734
532.88,0.990756
533.313,0.992783
533.747,0.994814
534.181,0.996849
534.615,0.998889
535.05,1.00093
535.484,1.00298
535.92,1.00503
536.355,1.00709
536.791,1.00915
537.228,1.01121
537.664,1.01328
538.102,1.01535
538.539,1.01743
538.977,1.01951
539.415,1.0216
539.853,1.02369
540.292,1.02578
540.731,1.02788
541.171,1.02998
541.611,1.03209
542.051,1.0342
542.492,1.03632
542.933,1.03844
543.374,0.300101
543.816,0.300706
544.258,0.301311
544.7,0.301918
545.143,0.302526
545.586,0.303135
546.03,0.303745
546.474,0.304357
546.918,0.30497
547.362,0.305584
547.807,0.306199
548.253,0.306816
548.698,0.307434
549.144,0.308053
549.591,0.308673
550.037,0.309295
550.484,0.309917
550.932,0.310541
551.38,0.311167
551.828,0.311793
552.277,0.312421
552.726,0.313051
553.175,0.313681
553.625,0.314313
554.075,0.314946
554.525,0.31558
554.976,0.316215
555.427,0.316852
555.878,0.31749
556.33,0.318129
556.782,0.31877
557.235,0.319412
557.688,0.320055
558.141,0.3207
558.595,0.321346
559.049,0.321993
559.504,0.322641
559.958,0.323291
560.414,0.323942
560.869,0.324594
561.325,0.325247
561.781,0.325901
562.238,0.326556
562.695,0.327213
563.152,0.32787
563.61,0.328529
564.068,0.32919
564.527,0.329851
564.986,0.330514
565.445,0.331179
565.905,0.331844
566.365,0.332512
566.825,0.33318
567.286,0.33385
