Energy_eV,AttenLength_um
30,2.01E-02
30.2593,2.02E-02
30.5209,2.03E-02
30.7847,2.05E-02
31.0509,2.06E-02
31.3193,2.07E-02
31.59,2.08E-02
31.8631,2.10E-02
32.1385,2.11E-02
32.4163,2.12E-02
32.6966,2.13E-02
32.9792,2.15E-02
33.2643,2.16E-02
33.5518,2.17E-02
33.8419,2.18E-02
34.1344,2.20E-02
34.4295,2.21E-02
34.7271,2.22E-02
35.0273,2.24E-02
35.3301,2.25E-02
35.6355,2.26E-02
35.9435,2.28E-02
36.2543,2.30E-02
36.5677,2.32E-02
36.8838,2.34E-02
37.2026,2.37E-02
37.5242,2.40E-02
37.8486,2.42E-02
38.1757,2.45E-02
38.5057,2.48E-02
38.8386,2.51E-02
39.1743,2.53E-02
39.513,2.56E-02
39.8545,2.59E-02
40.1991,2.62E-02
40.5466,2.65E-02
40.8971,2.68E-02
41.2506,2.71E-02
41.6072,2.74E-02
41.9668,2.77E-02
42.3296,2.81E-02
42.6955,2.84E-02
43.0646,2.87E-02
43.4369,2.90E-02
43.8124,2.94E-02
44.1911,2.97E-02
44.5731,3.00E-02
44.9584,3.04E-02
45.347,3.07E-02
45.739,3.11E-02
46.1344,3.14E-02
46.5332,3.18E-02
46.9355,3.21E-02
47.3412,3.25E-02
47.7505,3.29E-02
48.1632,3.33E-02
48.5796,3.37E-02
48.9995,3.41E-02
49.4231,3.46E-02
49.8503,3.51E-02
50.2812,3.56E-02
50.7159,3.62E-02
51.1543,3.67E-02
51.5965,3.73E-02
52.0425,3.78E-02
52.4924,3.84E-02
52.9462,3.89E-02
53.4038,3.95E-02
53.8655,4.01E-02
54.3311,4.07E-02
54.8008,4.13E-02
55.2745,4.19E-02
55.7523,4.25E-02
56.2343,4.31E-02
56.7204,4.38E-02
57.2107,4.44E-02
57.7052,4.51E-02
58.2041,4.57E-02
58.7072,4.64E-02
59.2147,4.71E-02
59.7266,4.77E-02
60.2429,4.84E-02
60.7636,4.91E-02
61.2889,4.98E-02
61.8187,5.05E-02
62.3531,5.12E-02
62.8921,5.19E-02
63.4358,5.26E-02
63.9841,5.34E-02
64.5372,5.41E-02
65.0951,5.49E-02
65.6578,5.57E-02
66.2254,5.65E-02
66.7979,5.73E-02
67.3753,5.81E-02
67.9577,5.90E-02
68.5452,5.98E-02
69.1377,6.07E-02
69.7354,6.16E-02
70.3382,6.25E-02
70.9462,6.34E-02
71.5595,6.44E-02
72.1781,6.54E-02
72.802,6.64E-02
73.4313,6.75E-02
74.0661,6.85E-02
74.7064,6.96E-02
75.3522,7.08E-02
76.0035,7.20E-02
76.6605,7.32E-02
77.3232,7.44E-02
77.9916,7.56E-02
78.6658,7.69E-02
79.3458,7.82E-02
80.0317,7.93E-02
80.7236,8.05E-02
81.4214,8.17E-02
82.1252,8.30E-02
82.8351,8.42E-02
83.5512,8.55E-02
84.2734,8.68E-02
85.0019,8.80E-02
85.7367,8.93E-02
86.4779,9.05E-02
87.2254,9.18E-02
87.9794,9.31E-02
88.74,9.44E-02
89.5071,9.57E-02
90.2808,9.70E-02
91.0612,9.84E-02
91.8484,9.97E-02
92.6424,0.101083
93.4432,0.10245
94.251,0.103831
95.0657,0.105229
95.8875,0.106642
96.7164,0.108056
97.5524,0.109481
98.3957,0.110944
99.2463,0.112439
100.104,8.62E-02
100.97,6.40E-02
101.842,7.10E-02
102.723,7.56E-02
103.611,8.10E-02
104.506,8.28E-02
105.41,8.18E-02
106.321,7.69E-02
107.24,7.49E-02
108.167,7.37E-02
109.102,7.35E-02
110.045,7.31E-02
110.996,7.19E-02
111.956,7.09E-02
112.924,7.03E-02
113.9,6.99E-02
114.885,6.87E-02
115.878,6.70E-02
116.879,6.51E-02
117.89,6.38E-02
118.909,6.32E-02
119.937,6.32E-02
120.973,6.30E-02
122.019,6.28E-02
123.074,6.30E-02
124.138,6.33E-02
125.211,6.36E-02
126.293,6.38E-02
127.385,6.40E-02
128.486,6.40E-02
129.597,6.39E-02
130.717,6.37E-02
131.847,6.36E-02
132.987,6.39E-02
134.137,6.53E-02
135.296,6.74E-02
136.466,6.94E-02
137.645,7.09E-02
138.835,7.15E-02
140.035,7.20E-02
141.246,7.25E-02
142.467,7.34E-02
143.698,7.36E-02
144.94,7.37E-02
146.193,7.37E-02
147.457,7.39E-02
148.732,7.44E-02
150.018,7.53E-02
151.314,7.47E-02
152.622,7.45E-02
153.942,7.70E-02
155.272,7.90E-02
156.615,7.93E-02
157.969,7.94E-02
159.334,7.92E-02
160.711,7.89E-02
162.101,7.85E-02
163.502,7.82E-02
164.915,7.84E-02
166.341,7.88E-02
167.779,7.91E-02
169.229,7.97E-02
170.692,8.12E-02
172.168,8.39E-02
173.656,8.60E-02
175.157,8.96E-02
176.671,9.24E-02
178.198,9.45E-02
179.739,9.63E-02
181.292,9.74E-02
182.86,9.88E-02
184.44,0.100376
186.035,0.101937
187.643,0.10353
189.265,0.105157
190.901,0.106845
192.551,0.108557
194.216,0.110295
195.895,0.112059
197.588,0.113848
199.296,0.115664
201.019,0.117507
202.757,0.119324
204.509,0.121151
206.277,0.122964
208.06,0.124799
209.859,0.126658
211.673,0.128542
213.503,0.130451
215.348,0.132386
217.21,0.134347
219.087,0.13636
220.981,0.13843
222.892,0.140716
224.818,0.143162
226.762,0.145649
228.722,0.148177
230.699,0.150748
232.693,0.153361
234.705,0.156019
236.734,0.158712
238.78,0.16144
240.844,0.164173
242.926,0.166918
245.026,0.169709
247.144,0.172546
249.281,0.175529
251.436,0.178642
253.609,0.181831
255.801,0.185086
258.013,0.188398
260.243,0.19177
262.493,0.195202
264.762,0.198694
267.05,0.202249
269.359,0.205867
271.687,0.209549
274.036,0.2133
276.405,0.217118
278.794,0.22101
281.204,0.224971
283.635,0.229007
286.087,0.233115
288.56,0.237296
291.054,0.241552
293.57,0.245884
296.108,0.250298
298.668,0.254886
301.25,0.259574
303.854,0.264418
306.48,0.26935
309.13,0.274375
311.802,0.279492
314.497,0.284705
317.216,0.290014
319.958,0.295423
322.724,0.300931
325.514,0.306541
328.327,0.312256
331.166,0.318076
334.028,0.324005
336.916,0.330043
339.828,0.336194
342.766,0.342459
345.729,0.34884
348.718,0.355339
351.732,0.361959
354.772,0.368701
357.839,0.375569
360.933,0.382563
364.053,0.389687
367.2,0.397532
370.374,0.405669
373.576,0.414163
376.805,0.422843
380.062,0.431706
383.348,0.440757
386.661,0.450003
390.004,0.459454
393.375,0.469111
396.776,0.478973
400.206,0.489043
403.665,0.499325
407.154,0.509824
410.674,0.520545
414.224,0.531492
417.805,0.542666
421.416,0.554076
425.059,0.565726
428.734,0.577621
432.44,0.589765
436.178,0.602164
439.949,0.614826
443.752,0.627752
447.588,0.64095
451.457,0.654424
455.359,0.668179
459.296,0.682305
463.266,0.696762
467.271,0.711941
471.31,0.727523
475.384,0.743446
479.493,0.759717
483.638,0.776345
487.819,0.793336
492.036,0.810697
496.289,0.828438
500.58,0.846566
504.907,0.865096
509.271,0.884032
513.674,0.90338
518.114,0.923151
522.593,0.943353
527.11,0.963999
531.667,0.985093
536.263,1.00665
540.899,1.02868
545.574,0.303119
550.29,0.309647
555.047,0.316316
559.845,0.323129
564.685,0.33008
569.566,0.337176
574.49,0.344345
579.456,0.351655
584.465,0.359149
589.517,0.366816
594.613,0.374676
599.753,0.382709
604.938,0.390916
610.167,0.399299
615.442,0.407862
620.762,0.416617
626.128,0.425567
631.541,0.434831
637,0.444351
642.506,0.454304
648.06,0.464526
653.662,0.47516
659.313,0.486044
665.012,0.497178
670.761,0.508428
676.559,0.51949
682.408,0.530618
688.307,0.54169
694.257,0.552907
700.258,0.564207
706.311,0.576032
712.417,0.588242
718.576,0.600992
724.787,0.614097
731.052,0.627473
737.372,0.64114
743.746,0.655111
750.175,0.669388
756.66,0.683984
763.201,0.698922
769.798,0.714235
776.453,0.730006
783.165,0.746266
789.935,0.763052
796.763,0.780366
803.651,0.798183
810.598,0.816529
817.605,0.835296
824.673,0.854495
831.802,0.874136
838.992,0.894187
846.245,0.914444
853.56,0.935067
860.938,0.955912
868.381,0.977093
875.887,0.99856
883.459,1.0205
891.096,1.04292
898.799,1.06596
906.568,1.08971
914.405,1.1141
922.31,1.13912
930.282,1.16558
938.324,1.19272
946.435,1.22071
954.617,1.24941
962.869,1.27895
971.192,1.30919
979.588,1.34015
988.055,1.37183
996.597,1.40425
1005.21,1.43741
1013.9,1.47134
1022.67,1.50584
1031.51,1.54109
1040.42,1.57736
1049.42,1.61451
1058.49,1.65279
1067.64,1.69198
1076.87,1.7321
1086.18,1.77313
1095.57,1.81459
1105.04,1.85694
1114.59,1.89993
1124.22,1.94391
1133.94,1.9889
1143.74,2.03494
1153.63,2.08204
1163.6,2.13025
1173.66,2.17957
1183.81,2.23004
1194.04,2.28169
1204.36,2.33455
1214.77,2.38863
1225.27,2.44399
1235.87,2.50071
1246.55,2.55886
1257.32,2.61848
1268.19,2.6796
1279.16,2.74238
1290.21,2.80674
1301.37,2.87266
1312.62,2.94017
1323.96,3.00925
1335.41,3.07996
1346.95,3.15236
1358.6,3.22645
1370.34,3.30225
1382.19,3.37985
1394.13,3.45931
1406.19,3.54067
1418.34,3.624
1430.6,3.70927
1442.97,3.79655
1455.44,3.88599
1468.02,3.97758
1480.71,4.07159
1493.51,4.16789
1506.42,4.26799
1519.45,4.37067
1532.58,4.47596
1545.83,4.58378
1559.19,4.69419
1572.67,4.80731
1586.26,4.92319
1599.98,5.04187
