Energy_eV,AttenLength_um
190,0.105914
190.637,0.106572
191.277,0.107234
191.918,0.107899
192.562,0.108568
193.207,0.109241
193.855,0.109918
194.506,0.110599
195.158,0.111283
195.812,0.111972
196.469,0.112664
197.128,0.113361
197.789,0.114061
198.452,0.114766
199.118,0.115474
199.786,0.116187
200.456,0.116904
201.128,0.117624
201.802,0.118333
202.479,0.119035
203.158,0.119742
203.84,0.120451
204.523,0.121165
205.209,0.12187
205.897,0.122575
206.588,0.123283
207.281,0.123996
207.976,0.124712
208.673,0.125432
209.373,0.126155
210.075,0.126883
210.78,0.127614
211.487,0.128348
212.196,0.129087
212.908,0.12983
213.622,0.130576
214.338,0.131326
215.057,0.13208
215.778,0.132838
216.502,0.1336
217.228,0.134366
217.956,0.135136
218.687,0.135924
219.421,0.136724
220.157,0.137527
220.895,0.138336
221.636,0.139148
222.379,0.140069
223.125,0.141011
223.873,0.141959
224.624,0.142914
225.377,0.143875
226.133,0.144842
226.891,0.145815
227.652,0.146795
228.416,0.147781
229.182,0.148773
229.95,0.149772
230.722,0.150777
231.495,0.151789
232.272,0.152807
233.051,0.153832
233.832,0.154863
234.616,0.155901
235.403,0.156946
236.193,0.157995
236.985,0.159046
237.78,0.160103
238.577,0.161168
239.377,0.162239
240.18,0.163301
240.985,0.164358
241.794,0.165422
242.604,0.166493
243.418,0.16757
244.234,0.168654
245.054,0.169746
245.875,0.170844
246.7,0.171949
247.527,0.173062
248.357,0.174203
249.19,0.175399
250.026,0.176602
250.865,0.177814
251.706,0.179035
252.55,0.180269
253.397,0.181518
254.247,0.182775
255.099,0.18404
255.955,0.185315
256.813,0.186598
257.675,0.18789
258.539,0.189191
259.406,0.190501
260.276,0.19182
261.149,0.193148
262.024,0.194485
262.903,0.195831
263.785,0.197187
264.67,0.198552
265.557,0.199926
266.448,0.20131
267.341,0.202703
268.238,0.204106
269.137,0.205519
270.04,0.206941
270.946,0.208373
271.854,0.209815
272.766,0.211267
273.681,0.21273
274.599,0.214204
275.52,0.215687
276.444,0.217181
277.371,0.218686
278.301,0.220203
279.234,0.22173
280.171,0.223268
281.11,0.224816
282.053,0.226376
282.999,0.227947
283.948,0.229529
284.9,0.231122
285.856,0.232726
286.814,0.234341
287.776,0.235967
288.741,0.237605
289.71,0.239253
290.681,0.240913
291.656,0.242585
292.634,0.244268
293.616,0.245962
294.6,0.247669
295.588,0.249387
296.58,0.25114
297.574,0.252921
298.572,0.254715
299.574,0.256521
300.578,0.25834
301.586,0.260198
