Time,Mesh_Current
46:37.1,1492
46:38.1,1491
46:39.1,1492
46:40.1,1492
46:41.1,1493
46:42.1,1492
46:43.1,1494
46:44.1,1497
46:45.1,1497
46:46.1,1497
46:47.1,1497
46:48.1,1498
46:49.1,1497
46:50.1,1497
46:51.1,1498
46:52.1,1498
46:53.1,1497
46:54.1,1496
46:55.1,1498
46:56.1,1497
46:57.1,1497
46:58.1,1498
46:59.1,1498
47:00.1,1498
47:01.1,1498
47:02.1,1498
47:03.1,1497
47:04.1,1498
47:05.1,1499
47:06.1,1499
47:07.1,1499
47:08.1,1498
47:09.1,1498
47:10.1,1499
47:11.1,1497
47:12.1,1498
47:13.1,1499
47:14.1,1499
47:15.0,1499
47:16.0,1499
47:17.0,1499
47:18.0,1498
47:19.0,1497
47:20.0,1497
47:21.0,1497
47:22.0,1497
47:23.0,1496
47:24.0,1497
47:25.0,1496
47:26.0,1497
47:27.0,1497
47:28.0,1500
47:29.0,1498
47:30.0,1497
47:31.0,1497
47:32.0,1498
47:33.0,1498
47:34.0,1497
47:35.0,1499
47:36.0,1499
47:37.0,1499
47:38.0,1499
47:39.0,1499
47:40.0,1500
47:41.0,1500
47:42.0,1500
47:43.0,1503
47:44.0,1505
47:45.0,1502
47:46.0,1505
47:47.0,1504
47:48.0,1503
47:49.0,1503
47:50.0,1502
47:51.0,1502
47:52.0,1503
47:53.0,1502
47:54.0,1504
47:55.0,1504
47:56.0,1502
47:57.0,1503
47:58.0,1503
47:59.0,1503
48:00.0,1502
48:01.0,1503
48:02.0,1501
48:03.0,1503
48:04.0,1504
48:05.0,1504
48:06.0,1503
48:07.0,1504
48:08.0,1504
48:09.0,1503
48:10.0,1502
48:11.0,1504
48:12.0,1504
48:13.0,1503
48:14.0,1504
48:15.0,1502
48:16.0,1503
48:17.0,1503
48:18.0,1504
48:19.0,1502
48:20.0,1503
48:21.0,1501
48:22.0,1503
48:23.0,1502
48:24.0,1503
48:25.0,1502
48:26.0,1503
48:27.0,1502
48:28.0,1503
48:29.0,1501
48:30.0,1502
48:31.0,1502
48:32.0,1502
48:33.0,1503
48:34.0,1502
48:35.0,1502
48:36.0,1502
48:37.0,1501
48:38.0,1501
48:39.0,1501
48:40.0,1502
48:41.0,1502
48:42.0,1502
48:43.0,1500
48:44.0,1502
48:45.0,1501
48:46.0,1500
48:47.0,1501
48:48.0,1502
48:49.0,1503
48:50.0,1502
48:51.0,1503
48:52.0,1503
48:53.0,1501
48:54.0,1501
48:55.0,1501
48:56.0,1500
48:57.0,1502
48:58.0,1500
48:59.0,1499
49:00.0,1500
49:01.0,1501
49:02.0,1500
49:03.0,1501
49:04.0,1500
49:05.0,1501
49:06.0,1500
49:07.0,1499
49:08.0,1498
49:09.0,1499
49:10.0,1498
49:11.0,1499
49:12.0,1499
49:13.0,1500
49:14.0,1499
49:15.0,1501
49:16.0,1500
49:17.0,1499
49:18.0,1498
49:19.0,1499
49:20.0,1500
49:21.0,1500
49:22.0,1499
49:23.0,1500
49:24.0,1499
49:25.0,1498
49:26.0,1500
49:27.0,1499
49:28.0,1499
49:29.0,1501
49:30.0,1501
49:31.0,1500
49:32.0,1500
49:33.0,1501
49:34.0,1500
49:35.0,1500
49:36.0,1500
49:37.0,1500
49:38.0,1499
49:39.0,1499
49:40.0,1501
49:41.0,1500
49:42.0,1501
49:43.0,1502
49:44.0,1505
49:45.0,1504
49:46.0,1504
49:47.0,1504
49:48.0,1503
49:49.0,1503
49:50.0,1504
49:51.0,1504
49:52.0,1504
49:53.0,1505
49:54.0,1505
49:55.0,1504
49:56.0,1504
49:57.0,1504
49:58.0,1503
49:59.0,1503
50:00.0,1504
50:01.0,1503
50:02.0,1505
50:03.0,1504
50:04.0,1505
50:05.0,1504
50:06.0,1505
50:07.0,1504
50:08.0,1506
50:09.0,1507
50:09.9,1507
50:10.9,1505
50:11.9,1508
50:12.9,1507
50:13.9,1505
50:14.9,1504
50:15.9,1505
50:16.9,1506
50:17.9,1505
50:18.9,1505
50:19.9,1505
50:20.9,1505
50:21.9,1504
50:22.9,1506
50:23.9,1504
50:24.9,1504
50:25.9,1504
50:26.9,1505
50:27.9,1506
50:28.9,1505
50:29.9,1505
50:30.9,1504
50:31.9,1504
50:32.9,1504
50:33.9,1505
50:34.9,1506
50:35.9,1505
50:36.9,1504
50:37.9,1506
50:38.9,1506
50:39.9,1505
50:40.9,1506
50:41.9,1504
50:42.9,1507
50:43.9,1508
50:44.9,1509
50:45.9,1508
50:46.9,1509
50:47.9,1509
50:48.9,1510
50:49.9,1510
50:50.9,1509
50:51.9,1509
50:52.9,1511
50:53.9,1510
50:54.9,1510
50:55.9,1509
50:56.9,1509
50:57.9,1510
50:58.9,1510
50:59.9,1510
51:00.9,1510
51:01.9,1511
51:02.9,1509
51:03.9,1512
51:04.9,1511
51:05.9,1510
51:06.9,1509
51:07.9,1509
51:08.9,1508
51:09.9,1510
51:10.9,1509
51:11.9,1511
51:12.9,1511
51:13.9,1511
51:14.9,1510
51:15.9,1509
51:16.9,1510
51:17.9,1509
51:18.9,1509
51:19.9,1510
51:20.9,1509
51:21.9,1508
51:22.9,1509
51:23.9,1509
51:24.9,1511
51:25.9,1512
51:26.9,1511
51:27.9,1512
51:28.9,1514
51:29.9,1511
51:30.9,1513
51:31.9,1511
51:32.9,1512
51:33.9,1512
51:34.9,1511
51:35.9,1510
51:36.9,1510
51:37.9,1511
51:38.9,1510
51:39.9,1510
51:40.9,1511
51:41.9,1510
51:42.9,1511
51:43.9,1510
51:44.9,1510
51:45.9,1510
51:46.9,1510
51:47.9,1511
51:48.9,1510
51:49.9,1512
51:50.9,1510
51:51.9,1510
51:52.9,1510
51:53.9,1511
51:54.9,1510
51:55.9,1510
51:56.9,1510
51:57.9,1510
51:58.9,1509
51:59.9,1510
52:00.9,1510
52:01.9,1511
52:02.9,1509
52:03.9,1509
52:04.9,1510
52:05.9,1510
52:06.9,1508
52:07.9,1509
52:08.9,1510
52:09.9,1511
52:10.9,1512
52:11.9,1513
52:12.9,1512
52:13.9,1512
52:14.9,1511
52:15.9,1512
52:16.9,1511
52:17.9,1512
52:18.9,1510
52:19.9,1511
52:20.9,1509
52:21.9,1510
52:22.9,1510
52:23.9,1511
52:24.9,1510
52:25.9,1509
52:26.9,1510
52:27.9,1510
52:28.9,1510
52:29.9,1509
52:30.9,1511
52:31.9,1510
52:32.9,1509
52:33.9,1510
52:34.9,1509
52:35.9,1510
52:36.9,1509
52:37.9,1509
52:38.9,1511
52:39.9,1510
52:40.9,1510
52:41.9,1509
52:42.9,1516
52:43.9,1514
52:44.9,1513
52:45.9,1514
52:46.9,1514
52:47.9,1514
52:48.9,1515
52:49.9,1514
52:50.9,1513
52:51.9,1514
52:52.9,1515
52:53.9,1514
52:54.9,1515
52:55.9,1515
52:56.9,1514
52:57.9,1515
52:58.9,1514
52:59.9,1514
53:00.9,1513
53:01.9,1512
53:02.9,1513
53:03.9,1513
53:04.9,1512
53:05.9,1513
53:06.9,1512
53:07.9,1512
53:08.9,1512
53:09.9,1511
53:10.9,1513
53:11.9,1515
53:12.9,1513
53:13.8,1513
53:14.8,1512
53:15.8,1513
53:16.8,1512
53:17.8,1511
53:18.8,1512
53:19.8,1512
53:20.8,1514
53:21.8,1513
53:22.8,1513
53:23.8,1513
53:24.8,1512
53:25.8,1514
53:26.8,1513
53:27.8,1513
53:28.8,1513
53:29.8,1513
53:30.8,1512
53:31.8,1512
53:32.8,1512
53:33.8,1512
53:34.8,1512
53:35.8,1512
53:36.8,1512
53:37.8,1511
53:38.8,1511
53:39.8,1512
53:40.8,1512
53:41.8,1512
53:42.8,1517
53:43.8,1517
53:44.8,1519
53:45.8,1518
53:46.8,1519
53:47.8,1518
53:48.8,1519
53:49.8,1517
53:50.8,1518
53:51.8,1518
53:52.8,1516
53:53.8,1518
53:54.8,1516
53:55.8,1516
53:56.8,1517
53:57.8,1516
53:58.8,1516
53:59.8,1518
54:00.8,1518
54:01.8,1517
54:02.8,1517
54:03.8,1517
54:04.8,1519
54:05.8,1518
54:06.8,1518
54:07.8,1518
54:08.8,1517
54:09.8,1516
54:10.8,1516
54:11.8,1517
54:12.8,1517
54:13.8,1517
54:14.8,1517
54:15.8,1517
54:16.8,1517
54:17.8,1518
54:18.8,1518
54:19.8,1518
54:20.8,1518
54:21.8,1517
54:22.8,1517
54:23.8,1518
54:24.8,1516
54:25.8,1517
54:26.8,1516
54:27.8,1517
54:28.8,1517
54:29.8,1517
54:30.8,1515
54:31.8,1515
54:32.8,1515
54:33.8,1516
54:34.8,1516
54:35.8,1515
54:36.8,1516
54:37.8,1516
54:38.8,1515
54:39.8,1515
54:40.8,1515
54:41.8,1515
54:42.8,1520
54:43.8,1521
54:44.8,1520
54:45.8,1521
54:46.8,1519
54:47.8,1521
54:48.8,1521
54:49.8,1522
54:50.8,1522
54:51.8,1523
54:52.8,1522
54:53.8,1523
54:54.8,1523
54:55.8,1523
54:56.8,1523
54:57.8,1523
54:58.8,1522
54:59.8,1521
55:00.8,1523
55:01.8,1522
55:02.8,1521
55:03.8,1521
55:04.8,1521
55:05.8,1521
55:06.8,1521
55:07.8,1523
55:08.8,1522
55:09.8,1521
55:10.8,1521
55:11.8,1521
55:12.8,1521
55:13.8,1521
55:14.8,1519
55:15.8,1521
55:16.8,1519
55:17.8,1521
55:18.8,1521
55:19.8,1521
55:20.8,1521
55:21.8,1520
55:22.8,1520
55:23.8,1521
55:24.8,1521
55:25.8,1522
55:26.8,1521
55:27.8,1521
55:28.8,1522
55:29.8,1521
55:30.8,1521
55:31.8,1520
55:32.8,1520
55:33.8,1519
55:34.8,1520
55:35.8,1521
55:36.8,1520
55:37.8,1521
55:38.8,1520
55:39.8,1519
55:40.8,1520
55:41.8,1520
55:42.8,1520
55:43.8,1520
55:44.8,1519
55:45.8,1519
55:46.8,1518
55:47.8,1520
55:48.8,1520
55:49.8,1519
55:50.8,1519
55:51.8,1519
55:52.8,1520
55:53.8,1520
55:54.8,1521
55:55.8,1521
55:56.8,1521
55:57.8,1519
55:58.8,1522
55:59.8,1520
56:00.8,1520
56:01.8,1520
56:02.8,1521
56:03.8,1521
56:04.8,1521
56:05.8,1520
56:06.8,1521
56:07.8,1521
56:08.7,1522
56:09.7,1520
56:10.7,1522
56:11.7,1521
56:12.7,1520
56:13.7,1520
56:14.7,1520
56:15.7,1520
56:16.7,1519
56:17.7,1519
56:18.7,1519
56:19.7,1520
56:20.7,1519
56:21.7,1520
56:22.7,1521
56:23.7,1521
56:24.7,1519
56:25.7,1521
56:26.7,1521
56:27.7,1520
56:28.7,1521
56:29.7,1520
56:30.7,1521
56:31.7,1520
56:32.7,1522
56:33.7,1521
56:34.7,1521
56:35.7,1521
56:36.7,1520
56:37.7,1520
56:38.7,1520
56:39.7,1518
56:40.7,1518
56:41.7,1518
56:42.7,1525
56:43.7,1524
56:44.7,1524
56:45.7,1524
56:46.7,1526
56:47.7,1526
56:48.7,1525
56:49.7,1525
56:50.7,1525
56:51.7,1525
56:52.7,1525
56:53.7,1526
56:54.7,1525
56:55.7,1527
56:56.7,1527
56:57.7,1528
56:58.7,1528
56:59.7,1529
57:00.7,1528
57:01.7,1527
57:02.7,1526
57:03.7,1527
57:04.7,1528
57:05.7,1527
57:06.7,1528
57:07.7,1527
57:08.7,1528
57:09.7,1526
57:10.7,1527
57:11.7,1528
57:12.7,1528
57:13.7,1528
57:14.7,1527
57:15.7,1528
57:16.7,1527
57:17.7,1527
57:18.7,1528
57:19.7,1526
57:20.7,1527
57:21.7,1526
